"","c","t"
"1025",144.65,1664974020000
"1026",144.65,1664974080000
"1027",144.64,1664974140000
"1028",144.68,1664974200000
"1029",144.61,1664974260000
"1030",144.57,1664974320000
"1031",144.6,1664974380000
"1032",144.6491,1664974440000
"1033",144.58,1664974500000
"1034",144.46,1664974560000
"1035",144.4,1664974620000
"1036",144.4,1664974680000
"1037",144.35,1664974740000
"1038",144.32,1664974800000
"1039",144.2,1664974860000
"1040",144.2801,1664974920000
"1041",144.32,1664974980000
"1042",144.4,1664975040000
"1043",144.41,1664975100000
"1044",144.41,1664975160000
"1045",144.32,1664975220000
"1046",144.17,1664975280000
"1047",144.08,1664975340000
"1048",143.87,1664975400000
"1049",143.861,1664975460000
"1050",143.83,1664975520000
"1051",143.81,1664975580000
"1052",143.78,1664975640000
"1053",143.86,1664975700000
"1054",143.95,1664975760000
"1055",143.95,1664975820000
"1056",143.95,1664975880000
"1057",143.92,1664975940000
"1058",143.95,1.664976e+12
"1059",144,1664976060000
"1060",144.09,1664976120000
